date,course,off_time,horse_name,finish_pos
2026-07-09,Newmarket,15:45,Shayem,1
2026-07-09,Newmarket,15:45,Colori Forever,2
2026-07-09,Newmarket,15:45,Conclave,3
2026-07-09,Newmarket,15:45,Lyneham,4
2026-07-09,Newmarket,15:45,Oxagon,5
2026-07-09,Newmarket,15:45,Wild Desert,6
2026-07-09,Newmarket,15:45,Morris Dancer,7
2026-07-09,Newmarket,16:20,Asmen Warrior,1
2026-07-09,Newmarket,16:20,Tawajjah,2
2026-07-09,Newmarket,16:20,Sterling Knight,3
2026-07-09,Newmarket,16:20,Parole d'Oro,4
2026-07-09,Newmarket,16:20,Spanish Voice,5
2026-07-09,Newmarket,16:20,Hickory,6
2026-07-09,Newmarket,16:20,Lion Of Alba,7
2026-07-09,Newmarket,16:20,Daysofourlives,8
2026-07-09,Newmarket,16:20,Ancient Rome,9
2026-07-09,Newmarket,16:20,Final Night,10
2026-07-09,Newmarket,16:20,The Joker,11
2026-07-09,Newmarket,16:20,Priapos,12
2026-07-09,Newmarket,16:20,Shipbourne,13
